id,date,city,country,temperature_c,humidity_%,wind_speed_kmh,weather
1,2024-01-01 00:00:00,Hamilton,NZ,8.5,83,3.1,Sunny
2,2024-01-01 01:00:00,Dunedin,NZ,6.0,51,26.6,Snowy
3,2024-01-01 02:00:00,Christchurch,NZ,13.1,43,35.5,Stormy
4,2024-01-01 03:00:00,Dunedin,NZ,8.8,96,37.8,Foggy
5,2024-01-01 04:00:00,Wellington,NZ,25.2,79,30.8,Stormy
6,2024-01-01 05:00:00,Napier,NZ,11.7,41,2.3,Cloudy
7,2024-01-01 06:00:00,Hamilton,NZ,29.6,86,21.4,Stormy
8,2024-01-01 07:00:00,Palmerston North,NZ,7.2,44,18.7,Stormy
9,2024-01-01 08:00:00,Auckland,NZ,7.0,47,34.2,Cloudy
10,2024-01-01 09:00:00,Wellington,NZ,21.9,50,26.1,Stormy
11,2024-01-01 10:00:00,Palmerston North,NZ,14.3,76,20.9,Sunny
12,2024-01-01 11:00:00,Christchurch,NZ,11.0,84,9.1,Sunny
13,2024-01-01 12:00:00,Hamilton,NZ,7.6,88,4.2,Sunny
14,2024-01-01 13:00:00,Palmerston North,NZ,17.4,79,28.3,Rainy
15,2024-01-01 14:00:00,Hamilton,NZ,12.1,56,16.3,Snowy
16,2024-01-01 15:00:00,Wellington,NZ,11.5,47,2.9,Sunny
17,2024-01-01 16:00:00,Tauranga,NZ,14.7,42,22.9,Cloudy
18,2024-01-01 17:00:00,Hamilton,NZ,16.3,100,25.4,Rainy
19,2024-01-01 18:00:00,Hamilton,NZ,7.5,47,23.0,Foggy
20,2024-01-01 19:00:00,Napier,NZ,22.5,68,36.6,Foggy
21,2024-01-01 20:00:00,Napier,NZ,8.6,87,24.9,Sunny
22,2024-01-01 21:00:00,Tauranga,NZ,21.6,75,23.8,Stormy
23,2024-01-01 22:00:00,Dunedin,NZ,16.6,91,9.9,Sunny
24,2024-01-01 23:00:00,Tauranga,NZ,20.0,61,7.3,Stormy
25,2024-01-02 00:00:00,Dunedin,NZ,15.0,82,9.4,Rainy
26,2024-01-02 01:00:00,Napier,NZ,24.0,50,4.0,Stormy
27,2024-01-02 02:00:00,Palmerston North,NZ,24.3,88,13.3,Foggy
28,2024-01-02 03:00:00,Napier,NZ,20.6,40,4.7,Snowy
29,2024-01-02 04:00:00,Hamilton,NZ,25.3,100,26.7,Stormy
30,2024-01-02 05:00:00,Auckland,NZ,19.9,69,23.1,Snowy
31,2024-01-02 06:00:00,Palmerston North,NZ,5.6,50,22.7,Sunny
32,2024-01-02 07:00:00,Auckland,NZ,24.8,77,24.5,Rainy
33,2024-01-02 08:00:00,Auckland,NZ,24.4,87,37.6,Cloudy
34,2024-01-02 09:00:00,Napier,NZ,12.6,55,13.6,Stormy
35,2024-01-02 10:00:00,Wellington,NZ,28.5,77,15.3,Cloudy
36,2024-01-02 11:00:00,Wellington,NZ,6.3,87,23.5,Sunny
37,2024-01-02 12:00:00,Dunedin,NZ,20.4,46,14.5,Sunny
38,2024-01-02 13:00:00,Palmerston North,NZ,22.7,98,3.4,Cloudy
39,2024-01-02 14:00:00,Dunedin,NZ,7.0,88,8.0,Stormy
40,2024-01-02 15:00:00,Palmerston North,NZ,28.9,95,6.2,Rainy
41,2024-01-02 16:00:00,Wellington,NZ,26.5,61,36.0,Snowy
42,2024-01-02 17:00:00,Palmerston North,NZ,18.8,45,14.7,Stormy
43,2024-01-02 18:00:00,Palmerston North,NZ,6.5,45,7.4,Sunny
44,2024-01-02 19:00:00,Christchurch,NZ,24.0,70,19.0,Snowy
45,2024-01-02 20:00:00,Napier,NZ,21.8,48,6.7,Cloudy
46,2024-01-02 21:00:00,Tauranga,NZ,10.2,94,25.2,Foggy
47,2024-01-02 22:00:00,Hamilton,NZ,28.4,83,18.5,Snowy
48,2024-01-02 23:00:00,Hamilton,NZ,12.9,51,28.0,Cloudy
49,2024-01-03 00:00:00,Christchurch,NZ,14.6,70,2.2,Snowy
